matchday,league_code,season,home_team,away_team,score_v13,agree_count,signal_count,dir_consensus,odd_used,result_1x2,pnl
2022-08-27,E0,2223,Chelsea,Leicester,0.7139080329646793,2,4,HOME,1.41,H,0.4099999999999999
2022-09-01,E0,2223,Leicester,Man United,0.7492435308232571,2,4,AWAY,2.25,A,1.25
2022-09-10,D1,2223,Schalke 04,Bochum,0.6734851399766802,2,4,HOME,2.16,H,1.1600000000000001
2022-09-16,E0,2223,Aston Villa,Southampton,0.6857899226913432,2,4,AWAY,3.64,H,-1.0
2022-10-01,E0,2223,Crystal Palace,Chelsea,0.7227601751256426,2,4,AWAY,1.79,A,0.79
2022-10-09,E0,2223,Arsenal,Liverpool,0.7766627056057689,2,4,HOME,2.58,H,1.58
2022-11-05,E0,2223,Leeds,Bournemouth,0.7841599595173432,2,4,HOME,1.65,H,0.6499999999999999
2022-11-06,E0,2223,Tottenham,Liverpool,0.645278289262363,2,4,HOME,3.59,A,-1.0
2022-11-09,D1,2223,Union Berlin,Augsburg,0.7968298032361291,2,4,HOME,1.75,D,-1.0
2022-11-12,D1,2223,Augsburg,Bochum,0.7665820171427774,2,4,AWAY,3.02,A,2.02
2022-12-26,E0,2223,Crystal Palace,Fulham,0.5748780100664186,2,4,HOME,2.29,A,-1.0
2022-12-30,E0,2223,Liverpool,Leicester,0.7689254497539021,2,4,HOME,1.26,H,0.26
2023-01-05,E0,2223,Chelsea,Man City,0.7214664413526174,2,4,AWAY,1.67,A,0.6699999999999999
2023-01-15,E0,2223,Tottenham,Arsenal,0.6279358528793902,2,4,AWAY,2.22,A,1.2200000000000002
2023-01-21,D1,2223,Union Berlin,Hoffenheim,0.7611408600402066,2,4,HOME,2.29,H,1.29
2023-01-25,D1,2223,Werder Bremen,Union Berlin,0.68480418848271,2,4,AWAY,2.62,A,1.62
2023-02-05,E0,2223,Tottenham,Man City,0.6722922109177757,2,4,AWAY,1.93,H,-1.0
