K,matchday,leg_no,match,dir,odd,won,result,combo_odd,all_won,pnl
2,2022-12-30,1,Liverpool vs Leicester,HOME,1.26,True,H,4.4478,True,3.4478
2,2022-12-30,2,West Ham vs Brentford,AWAY,3.53,True,A,4.4478,True,3.4478
2,2023-02-25,1,Crystal Palace vs Liverpool,AWAY,1.71,False,D,2.3256,False,-1.0
2,2023-02-25,2,Bournemouth vs Man City,AWAY,1.36,True,A,2.3256,False,-1.0
2,2023-03-11,1,Leeds vs Brighton,AWAY,1.85,False,D,3.6075,False,-1.0
2,2023-03-11,2,Leicester vs Chelsea,AWAY,1.95,True,A,3.6075,False,-1.0
2,2023-04-08,1,Freiburg vs Bayern Munich,AWAY,1.5,True,A,4.035,True,3.035
2,2023-04-08,2,Fulham vs West Ham,AWAY,2.69,True,A,4.035,True,3.035
2,2023-10-07,1,Everton vs Bournemouth,HOME,1.93,True,H,2.9335999999999998,True,1.9335999999999998
2,2023-10-07,2,Fulham vs Sheffield United,HOME,1.52,True,H,2.9335999999999998,True,1.9335999999999998
2,2023-12-09,1,Sheffield United vs Brentford,AWAY,1.78,False,H,3.5956,False,-1.0
2,2023-12-09,2,Aston Villa vs Arsenal,AWAY,2.02,False,H,3.5956,False,-1.0
2,2023-12-23,1,West Ham vs Man United,HOME,2.1,True,H,9.996,False,-1.0
2,2023-12-23,2,Tottenham vs Everton,AWAY,4.76,False,H,9.996,False,-1.0
2,2024-09-14,1,Brighton vs Ipswich,HOME,1.53,False,D,2.5704,False,-1.0
2,2024-09-14,2,Aston Villa vs Everton,HOME,1.68,True,H,2.5704,False,-1.0
2,2024-10-05,1,Leicester vs Bournemouth,AWAY,2.02,False,H,22.967399999999998,False,-1.0
2,2024-10-05,2,Man City vs Fulham,AWAY,11.37,False,H,22.967399999999998,False,-1.0
2,2024-10-06,1,Brighton vs Tottenham,AWAY,2.3,False,H,5.129,False,-1.0
2,2024-10-06,2,Aston Villa vs Man United,HOME,2.23,False,D,5.129,False,-1.0
2,2024-12-08,1,Tottenham vs Chelsea,AWAY,2.25,True,A,4.3875,True,3.3875
2,2024-12-08,2,Ipswich vs Bournemouth,AWAY,1.95,True,A,4.3875,True,3.3875
2,2025-01-04,1,Bournemouth vs Everton,HOME,1.7,True,H,3.06,False,-1.0
2,2025-01-04,2,Brighton vs Arsenal,AWAY,1.8,False,D,3.06,False,-1.0
2,2025-02-22,1,Fulham vs Crystal Palace,HOME,2.1,False,A,3.297,False,-1.0
2,2025-02-22,2,Southampton vs Brighton,AWAY,1.57,True,A,3.297,False,-1.0
2,2025-04-06,1,Fulham vs Liverpool,AWAY,1.94,False,H,4.6948,False,-1.0
2,2025-04-06,2,Brentford vs Chelsea,AWAY,2.42,False,D,4.6948,False,-1.0
3,2023-02-25,1,Crystal Palace vs Liverpool,AWAY,1.71,False,D,6.069816,False,-1.0
3,2023-02-25,2,Bournemouth vs Man City,AWAY,1.36,True,A,6.069816,False,-1.0
3,2023-02-25,3,Everton vs Aston Villa,HOME,2.61,False,A,6.069816,False,-1.0
3,2023-04-08,1,Freiburg vs Bayern Munich,AWAY,1.5,True,A,10.53135,False,-1.0
3,2023-04-08,2,Fulham vs West Ham,AWAY,2.69,True,A,10.53135,False,-1.0
3,2023-04-08,3,Tottenham vs Brighton,AWAY,2.61,False,H,10.53135,False,-1.0
3,2024-12-08,1,Tottenham vs Chelsea,AWAY,2.25,True,A,7.1955,False,-1.0
3,2024-12-08,2,Ipswich vs Bournemouth,AWAY,1.95,True,A,7.1955,False,-1.0
3,2024-12-08,3,Fulham vs Arsenal,AWAY,1.64,False,D,7.1955,False,-1.0
