name,K,min_sig,min_ag,dir_col,n_weeks,coverage,n_won,pwr,avg_combo_odd,avg_pnl,total_pnl,ci_low,ci_high,edge_pos
K2 FAV_CONFIRMED,2,0,0,dir_fav_confirmed,461,0.6614060258249641,182,0.3947939262472885,3.2273516268980478,0.14297310195227766,65.9106,0.005726800433839465,0.29253313991323204,True
K3 FAV_CONFIRMED,3,0,0,dir_fav_confirmed,338,0.48493543758967,79,0.23372781065088757,5.872640059171598,0.16742447633136093,56.58947299999999,-0.07025776176035504,0.43139307211538447,False
K1 FAV_CONFIRMED,1,0,0,dir_fav_confirmed,642,0.921090387374462,403,0.6277258566978193,1.7661682242990653,0.06585669781931464,42.279999999999994,-0.0039731308411215,0.12983566978193145,False
K1 just_FAV,1,0,0,dir_favorite,697,1.0,431,0.6183644189383071,1.7845050215208034,0.061836441893830696,43.099999999999994,-0.0038662123385939827,0.1260419655667145,False
K1 cons sig2/ag2,1,2,2,dir_consensus,100,0.14347202295552366,62,0.62,1.9671,0.1534,15.34,-0.0476325,0.36462999999999995,False
K1 cons sig3/ag2,1,3,2,dir_consensus,100,0.14347202295552366,62,0.62,1.9671,0.1534,15.34,-0.061807499999999994,0.372415,False
K2 cons sig2/ag2,2,2,2,dir_consensus,14,0.020086083213773313,4,0.2857142857142857,5.503371428571429,0.12885,1.8039,-0.7117857142857142,1.1613585714285708,False
K2 cons sig3/ag2,2,3,2,dir_consensus,14,0.020086083213773313,4,0.2857142857142857,5.503371428571429,0.12885,1.8039,-0.7117857142857142,1.124425892857143,False
K3 cons sig2/ag2,3,2,2,dir_consensus,3,0.00430416068866571,0,0.0,7.932222,-1.0,-3.0,-1.0,-1.0,False
K3 cons sig3/ag2,3,3,2,dir_consensus,3,0.00430416068866571,0,0.0,7.932222,-1.0,-3.0,-1.0,-1.0,False
