n,n_won,pwr,avg_pnl,avg_odd,ci_low,ci_high,total_pnl,edge_pos,league,season,K
642,403,0.6277258566978193,0.06585669781931464,1.7661682242990653,-0.0018294392523364568,0.1369318535825545,42.279999999999994,False,ALL,ALL,1
461,182,0.3947939262472885,0.14297310195227766,3.2273516268980478,0.000643541214750534,0.27666378524945767,65.9106,True,ALL,ALL,2
327,184,0.5626911314984709,-0.01685015290519878,1.8352905198776759,-0.10942584097859327,0.0857912844036697,-5.510000000000002,False,D1,ALL,1
199,62,0.31155778894472363,-0.05407537688442213,3.3527075376884423,-0.2551942085427135,0.17884288944723617,-10.761000000000003,False,D1,ALL,2
417,268,0.6426858513189448,0.083621103117506,1.7576978417266187,0.0005047961630695347,0.17292685851318942,34.87,True,E0,ALL,1
255,99,0.38823529411764707,0.12829882352941177,3.065587843137255,-0.065718568627451,0.3174499607843136,32.7162,False,E0,ALL,2
448,278,0.6205357142857143,0.08495535714285714,1.8421205357142856,0.009295200892857142,0.17268080357142854,38.059999999999995,True,T1,ALL,1
240,83,0.3458333333333333,0.13556249999999997,3.644862916666667,-0.07881960416666667,0.33512126041666657,32.535,False,T1,ALL,2
75,38,0.5066666666666667,-0.1077333333333333,1.8482666666666667,-0.2991233333333333,0.10101333333333322,-8.079999999999998,False,D1,2122,1
46,11,0.2391304347826087,-0.45985,3.121810869565217,-0.7291029347826087,-0.1323516304347828,-21.1531,False,D1,2122,2
85,48,0.5647058823529412,0.01094117647058824,1.901058823529412,-0.19428235294117643,0.22724117647058803,0.9300000000000004,False,D1,2223,1
54,13,0.24074074074074073,-0.1766240740740741,3.781083333333333,-0.5742462037037037,0.2326037962962963,-9.537700000000001,False,D1,2223,2
89,55,0.6179775280898876,0.03269662921348314,1.7408988764044944,-0.15700842696629214,0.206314606741573,2.9099999999999993,False,D1,2324,1
50,20,0.4,0.20001999999999998,3.115864,-0.2516676,0.6594681,10.001,False,D1,2324,2
78,43,0.5512820512820513,-0.0162820512820513,1.858846153846154,-0.22309294871794877,0.19324679487179483,-1.2700000000000016,False,D1,2425,1
49,18,0.3673469387755102,0.20262857142857138,3.339057142857143,-0.2607888775510204,0.7342973979591835,9.928799999999997,False,D1,2425,2
103,70,0.6796116504854369,0.15631067961165046,1.7544660194174757,-0.013237864077669925,0.32748058252427187,16.099999999999998,False,E0,2122,1
56,25,0.44642857142857145,0.35789999999999994,2.8754517857142856,-0.05908611607142861,0.7521124553571427,20.042399999999997,False,E0,2122,2
105,65,0.6190476190476191,0.052190476190476204,1.7718095238095237,-0.1157,0.21896190476190477,5.480000000000001,False,E0,2223,1
63,25,0.3968253968253968,0.07939841269841269,3.079120634920635,-0.24387289682539684,0.4503295634920635,5.0020999999999995,False,E0,2223,2
110,67,0.6090909090909091,-0.031909090909090915,1.7398181818181817,-0.18444772727272724,0.13048409090909088,-3.5100000000000007,False,E0,2324,1
66,24,0.36363636363636365,-0.07744242424242424,2.983906060606061,-0.3814347348484849,0.26834814393939393,-5.1112,False,E0,2324,2
99,66,0.6666666666666666,0.1696969696969697,1.7659595959595962,0.004919191919191949,0.34135101010101004,16.8,True,E0,2425,1
70,25,0.35714285714285715,0.18261285714285713,3.2825314285714287,-0.2157601785714285,0.6190891071428569,12.7829,False,E0,2425,2
112,62,0.5535714285714286,0.03526785714285714,1.9363392857142858,-0.14035714285714285,0.2086808035714286,3.95,False,T1,2122,1
72,21,0.2916666666666667,0.1742152777777778,4.137897222222223,-0.25482541666666664,0.6507703819444444,12.5435,False,T1,2122,2
111,71,0.6396396396396397,0.11405405405405405,1.8644144144144144,-0.043040540540540545,0.2851756756756756,12.66,False,T1,2223,1
52,18,0.34615384615384615,0.08224615384615384,3.5064326923076923,-0.33202451923076914,0.5382681249999999,4.2768,False,T1,2223,2
115,71,0.6173913043478261,0.05643478260869564,1.8093043478260868,-0.11054565217391306,0.19948913043478256,6.489999999999998,False,T1,2324,1
71,26,0.36619718309859156,0.10592816901408453,3.555581690140845,-0.2609769014084507,0.4838851056338027,7.520900000000001,False,T1,2324,2
110,74,0.6727272727272727,0.13599999999999998,1.758,-0.03609772727272729,0.30210227272727275,14.959999999999999,False,T1,2425,1
45,18,0.4,0.18208444444444444,3.156837777777778,-0.22607372222222227,0.6380814444444443,8.1938,False,T1,2425,2
