strategy,matchday,leg_no,league,season,match,dir,odd,won,result,combo_odd,all_won,pnl
T1 only (>=1 confirm),2021-09-11,1,T1,2122,Karagumruk vs Ad. Demirspor,H,2.66,True,H,9.02538,True,8.02538
T1 only (>=1 confirm),2021-09-11,2,T1,2122,Konyaspor vs Altay,H,2.61,True,H,9.02538,True,8.02538
T1 only (>=1 confirm),2021-09-11,3,T1,2122,Besiktas vs Yeni Malatyaspor,H,1.3,True,H,9.02538,True,8.02538
T1 only (>=1 confirm),2021-09-12,1,T1,2122,Fenerbahce vs Sivasspor,H,1.56,False,D,8.975615999999999,False,-1.0
T1 only (>=1 confirm),2021-09-12,2,T1,2122,Trabzonspor vs Galatasaray,H,2.32,False,D,8.975615999999999,False,-1.0
T1 only (>=1 confirm),2021-09-12,3,T1,2122,Rizespor vs Hatayspor,H,2.48,False,A,8.975615999999999,False,-1.0
T1 only (>=1 confirm),2021-09-21,1,T1,2122,Besiktas vs Ad. Demirspor,H,1.4,False,D,5.780880000000001,False,-1.0
T1 only (>=1 confirm),2021-09-21,2,T1,2122,Karagumruk vs Antalyaspor,H,1.86,False,D,5.780880000000001,False,-1.0
T1 only (>=1 confirm),2021-09-21,3,T1,2122,Rizespor vs Altay,A,2.22,True,A,5.780880000000001,False,-1.0
T1 only (>=1 confirm),2021-09-22,1,T1,2122,Kayserispor vs Galatasaray,A,1.87,False,H,12.190529999999999,False,-1.0
T1 only (>=1 confirm),2021-09-22,2,T1,2122,Goztep vs Hatayspor,H,2.46,False,A,12.190529999999999,False,-1.0
T1 only (>=1 confirm),2021-09-22,3,T1,2122,Gaziantep vs Buyuksehyr,A,2.65,False,H,12.190529999999999,False,-1.0
T1 only (>=1 confirm),2021-09-23,1,T1,2122,Fenerbahce vs Giresunspor,H,1.42,True,H,5.995807999999999,False,-1.0
T1 only (>=1 confirm),2021-09-23,2,T1,2122,Alanyaspor vs Kasimpasa,H,1.82,True,H,5.995807999999999,False,-1.0
T1 only (>=1 confirm),2021-09-23,3,T1,2122,Konyaspor vs Trabzonspor,A,2.32,False,D,5.995807999999999,False,-1.0
T1 only (>=1 confirm),2021-09-26,1,T1,2122,Buyuksehyr vs Rizespor,H,1.62,True,H,6.368544,True,5.368544
T1 only (>=1 confirm),2021-09-26,2,T1,2122,Galatasaray vs Goztep,H,1.56,True,H,6.368544,True,5.368544
T1 only (>=1 confirm),2021-09-26,3,T1,2122,Hatayspor vs Fenerbahce,A,2.52,True,A,6.368544,True,5.368544
T1 only (>=1 confirm),2021-10-02,1,T1,2122,Goztep vs Giresunspor,H,2.43,False,A,10.663812,False,-1.0
T1 only (>=1 confirm),2021-10-02,2,T1,2122,Kayserispor vs Trabzonspor,A,2.07,True,A,10.663812,False,-1.0
T1 only (>=1 confirm),2021-10-02,3,T1,2122,Besiktas vs Sivasspor,H,2.12,True,H,10.663812,False,-1.0
T1 only (>=1 confirm),2021-10-03,1,T1,2122,Fenerbahce vs Kasimpasa,H,1.68,True,H,7.739759999999999,True,6.739759999999999
T1 only (>=1 confirm),2021-10-03,2,T1,2122,Gaziantep vs Altay,H,2.71,True,H,7.739759999999999,True,6.739759999999999
T1 only (>=1 confirm),2021-10-03,3,T1,2122,Rizespor vs Galatasaray,A,1.7,True,A,7.739759999999999,True,6.739759999999999
T1 only (>=1 confirm),2021-10-16,1,T1,2122,Giresunspor vs Rizespor,H,1.78,True,H,5.575672,False,-1.0
T1 only (>=1 confirm),2021-10-16,2,T1,2122,Ad. Demirspor vs Yeni Malatyaspor,H,1.64,False,A,5.575672,False,-1.0
T1 only (>=1 confirm),2021-10-16,3,T1,2122,Sivasspor vs Antalyaspor,H,1.91,False,D,5.575672,False,-1.0
T1 only (>=1 confirm),2021-10-30,1,T1,2122,Kasimpasa vs Yeni Malatyaspor,H,1.95,True,H,11.79984,False,-1.0
T1 only (>=1 confirm),2021-10-30,2,T1,2122,Konyaspor vs Fenerbahce,A,2.44,False,H,11.79984,False,-1.0
T1 only (>=1 confirm),2021-10-30,3,T1,2122,Hatayspor vs Besiktas,A,2.48,False,H,11.79984,False,-1.0
T1 only (>=1 confirm),2021-10-31,1,T1,2122,Alanyaspor vs Goztep,H,1.85,False,D,7.095490000000001,False,-1.0
