T1-only (ref),Equal 3-league,E0+T1 (T04 winners),T1-weighted (70/20/10)
1000.0,1000.0,1000.0,1000.0
1401.269,983.3333333333333,975.0,990.0
1331.20555,1117.0896666666665,1175.6345000000001,1270.8883
1264.6452725,1100.4229999999998,1151.8845000000001,1265.8883
1201.4130088749998,1084.5896666666665,1116.8527749999998,1256.3883
1141.3423584312497,1061.2351833333332,1094.2902749999998,1207.3438850000002
1447.7096919463465,1046.1935166666665,1283.5939594375,1198.3188850000001
1375.3242073490292,1030.3601833333332,1250.3138206875,1193.5688850000001
1838.7919613351637,1156.562639625,1218.697688875,1269.2903587750002
1746.8523632684055,1134.375880458333,1188.6623636531249,1222.698164525
1659.5097451049853,1113.29845925,1157.7628044312498,1178.4355799875
1576.5342578497362,1093.2749091020833,1310.9464711887981,1136.386124676875
1497.7075449572494,1072.6752029541665,1274.7537288901394,1124.026300988125
1422.822167709387,1057.6335362874997,1385.0037826077069,1119.513800988125
1351.6810593239177,1159.7559807925322,1616.7376596007741,1333.9709344486928
2245.7999675404944,1233.2560166042435,1581.8705756541144,1378.0709559357197
2133.5099691634696,1209.1275217384712,1535.9007766207355,1327.4011167175975
2026.834470705296,1194.8379384051377,1502.7770468714089,1323.1142417175975
1925.4927471700312,1349.3271897338493,1471.3095036095483,1647.5416695078918
1829.2181098115295,1335.7520855671828,1427.6381945278383,1643.4691382578917
1737.757204320953,1305.1055528782633,1386.1504509002139,1579.1114196111612
1650.8693441049054,1292.20920391993,1356.2562848014463,1575.242514923661
1568.3258768996602,1268.9644812888237,1327.8568270076175,1561.295681344997
1489.9095830546771,1246.8819947892725,1288.4434705613742,1548.0461894452665
1415.4141039019432,1217.767788734799,1261.4639856572367,1486.9063567308722
1344.643398706846,1196.7894265602256,1224.0212970333055,1474.3193394261282
1277.4112287715038,1184.5378950498089,1198.3907863743748,1470.643879973003
1213.5406673329287,1156.879399298059,1239.6858859805197,1412.5610388943287
1152.8636339662824,1136.9499552322143,1204.1153317877852,1400.6033724548217
1095.2204522679683,1118.0169833696616,1177.701591681494,1389.2435893372904
1518.1066994925632,1091.7414124054992,1624.7610457897822,1334.0648903125496
1853.4543440610912,1080.1024574706034,1736.9290005953965,1330.5732038320807
1760.7816268580366,1062.1161342011785,1795.9740308533028,1319.7814098704257
1672.7425455151347,1037.1543417852242,1739.8290316647904,1267.361645796922
1589.105418239378,1020.0673346792706,1686.4912824357036,1257.1094415333496
1509.650147327409,1009.0103274911196,1635.8204206680712,1253.7923393769045
1434.1676399610385,1036.540393895216,1587.6831019888205,1270.3103792193624
1362.4592579629866,1018.9312338243553,1541.952649243532,1259.7448831768459
1780.7800287886912,1008.4270769956117,1508.2989468893793,1256.593636128223
1691.7410273492567,984.7133742004553,1476.327929652934,1206.7948602583942
1607.1539759817938,1059.4920107375315,1432.8839995449102,1251.66204218064
1526.7962771827042,1357.5316468097235,1391.6122659422876,1877.5452779322436
1450.456463323569,1396.8950003149944,1361.239799567665,1901.1632900354061
1377.9336401573905,1386.9160513276881,1322.0316526451734,1898.1696053392143
1309.036958149521,1377.4360497897471,1293.1778095892817,1895.3256048778321
1507.5610524968197,1340.0060503307388,1255.9300700129147,1816.7226060139149
1432.1829998719786,1304.447550844681,1220.544717415366,1742.0497570931934
1852.4585333674106,1270.6669763329262,1186.928632447695,1671.1105506185081
1759.83560669904,1238.575430546759,1159.517481544598,1603.7183044675571
1671.843826364088,1208.0884620499,1133.4768881866557,1539.6956706241535
1995.863878351712,1185.6526604804649,1108.7383244966104,1526.2341896824923
1896.0706844341264,1164.3386489895015,1085.2366889910675,1513.4457827879144
1801.2671502124201,1155.3326475284575,1053.30140827178,1510.743982349601
1711.203792701799,1126.3700274564417,1030.974854541514,1449.9224801983678
1625.6436030667091,1098.8555383880266,1298.262729508716,1392.142053154696
1544.3614229133736,1078.6072274716114,1267.9242128253927,1379.993066604847
1890.0624032205483,1121.3856830773618,1465.8567196143206,1392.826603286572
1795.5592830595208,1095.2469184623674,1764.8389463110675,1337.9351975950838
1705.7813189065448,1076.011023091773,1705.4185898446713,1326.393660372727
1938.6136458120127,1065.3163989234936,1676.5969989955142,1323.1852731222434
2354.249309692275,1040.484572539249,1620.147660352438,1271.0384377153296
2815.865805838117,1016.8943374742166,1831.5907839647352,1221.4989440787615
2675.072515546211,994.4836141624359,1999.2646062489994,1174.436425124022
2541.3188897689006,976.2095135603711,1952.9282476474718,1163.471964762783
2414.2529452804556,958.8491179884096,1899.3013759365492,1153.0557274196062
2293.5402980164326,942.3567421950461,1855.2818352650984,1143.1603019435881
2178.863283115611,932.1968492351808,1813.46327162722,1140.1123340556285
2069.9201189598307,916.5290922314855,1762.5177435018434,1130.7116798534114
1966.4241130118392,895.2389050852938,1714.1194917827356,1086.0022868464087
2563.145440547052,915.8897206374427,1674.3918563267512,1092.1975315120533
2434.9881685196997,905.2052815479633,1636.650602643566,1088.9921997852096
2313.2387600937145,890.3209123944528,1590.6722635104136,1080.0615782931031
2197.5768220890286,1068.5128290392538,1682.359563883405,1186.976728279984
2087.697980984577,1048.2871512503716,1646.505372884379,1144.5028049233313
1983.3130819353482,1180.2421557763234,1723.5787799320487,1223.6758076389024
1884.1474278385808,1379.5636402408213,1671.4613223845208,1343.2686983176013
1789.9400564466519,1369.4134231058158,1869.0628489884498,1340.2236331770996
2910.7027890664635,1329.7998521282184,1809.671187988102,1316.455490590541
2765.1676496131404,1310.5854582287802,1753.2491100377715,1276.1052634017212
2626.9092671324834,1300.942751950525,1699.6481359849577,1273.2124515182445
2495.563803775859,1291.7821809861825,1908.80852139781,1270.4642802289418
2370.785613587066,1254.1492885574648,1864.2890206780926,1247.8845447717113
2252.2463329077127,1395.1113709656631,1821.9954949943613,1543.9049178289276
2139.634016262327,1386.4088285495377,1781.8166455948165,1541.29415510409
2765.9006135542777,1498.191376739047,1730.8957202446431,1776.0375063020597
2627.605582876564,1467.3004710046955,1682.5208411619788,1711.1666042599213
2496.2253037327355,1431.5492231974138,1644.3509342324112,1689.7158555755523
2848.7542230073304,1462.0501984464345,1608.089522649322,1698.8661481502586
3468.9747369252837,1432.7038379988005,1562.1333875207906,1637.2387912102274
3295.5260000790195,1422.9113739410304,1518.475059148686,1634.3010519928964
3130.7497000750686,1395.0323315157782,1476.9996471951863,1575.7550628998667
2974.2122150713153,1361.0686460988604,1442.5513061912516,1555.3768516497162
3602.557374161028,1351.7658052439788,1403.149664835427,1552.5859993932515
4837.093263322126,1319.500304097907,1502.4117120090764,1533.2266987056084
4595.23860015602,1293.0152137939174,1464.980152721043,1477.6080090672301
4365.476670148219,1284.17751498178,1427.2911264086224,1474.9566994235888
4964.8952514281,1259.0166791929898,1391.7311450849909,1422.1189442671296
4716.650488856695,1250.6208653214592,1357.949162827541,1419.6002001056704
4480.81796441386,1219.968639232691,1507.1646378936566,1401.2088644524094
5321.040561379009,1281.0935061480184,1717.3024046413725,1437.8837846016058
6055.394176630589,1273.1174829700644,1677.7487477434893,1435.4909776482198
5752.62446779906,1249.2146889707137,1640.1727736905,1385.2951102495833
8152.472128578453,1300.596960335827,1604.47559834016,1416.1244730686512
7744.84852214953,1265.851988637475,1558.164135005975,1395.2774900496402
,1258.2747666184187,1524.2518184231521,1393.0043234439233
,1251.076405700315,1492.0351176694705,1390.8448151684922
,1382.8107567696009,1448.0392275019944,1469.8854258100637
,1343.2163161027024,1610.0492534958066,1446.1287614099247
,1305.6015974691486,1579.443387779809,1423.5599302297924
,1269.8676147672727,1550.3678153496112,1402.1195406086667
,1409.3078717091742,1522.7460215409235,1694.94408018666
,1402.4694288369758,1496.50531742267,1692.8925473250006
,1395.9729081083874,1549.3606766854255,1690.9435911064238
,1366.293240961909,1521.789239809947,1628.6162900988197
,1360.12154626975,1495.5963747782423,1626.7647816911722
,1331.9258624805957,1445.6997778194495,1567.5538457339483
,1297.9785789138136,1398.2980107085964,1547.185475593879
,1292.1154689562625,1373.4147889284773,1545.4265426066136
,1265.3295693565658,1349.7757282373639,1489.1761534472507
,1233.0796499681228,1327.318620580806,1469.826201814185
,1227.5096955084493,1468.4100312115838,1468.1552154762828
,1202.0630908887376,1440.0212084063153,1414.7173457748881
,1196.7716341520477,1413.05182674131,1413.1299087538812
,1172.5973597633215,1368.0201479859995,1362.3639325375564
,1141.9599363443008,1413.4204050808694,1343.9814784861437
,1112.8543840962311,1510.8443559220234,1326.5181471373019
,1107.8275001963757,1468.0642611044784,1325.0100819673453
,1084.8619395270857,1435.3021381259223,1276.7824045618365
,1057.2116648914193,1404.1781212962937,1260.192239780437
,1052.4361251865569,1363.537031219626,1258.759577868978
,1026.1683642826738,1333.9692152314792,1242.9989213266483
,1092.34306239844,1305.8797900427394,1381.9657873697574
,1103.9731988065917,1478.730280196327,1385.4548282922028
,1079.0188259479028,1431.478720115813,1370.4822045769895
,1053.892808406289,1404.7937661865103,1317.7175677396008
,1030.1861541905346,1471.3010904812973,1303.4935752101483
,1025.0678846505075,1426.4121084048093,1301.95809434814
,1020.2055285874818,1397.7360359572324,1300.4993875292323
,997.6842070825152,1370.4937671320345,1286.9865946262523
,993.0649688226407,1486.9099305847683,1285.60082314829
,1092.5419522000511,1461.0297752008303,1345.287013174736
,1232.6337966985284,1668.8476071409614,1639.4798866215385
,1206.2646920999393,1748.8440473579972,1623.6584238623852
,1181.21404273128,1979.652295430918,1608.6280342411897
,1157.4159258310535,1909.2556502849652,1594.3491641010537
,1126.5416169415967,1880.6696806593723,1529.5131154331943
,1103.9334058863815,1853.513009515059,1515.9481888000653
,1082.4556053839271,1786.6361966264035,1503.0615084985927
,1109.8698830119354,1723.103224382181,1511.285791786995
,1104.1108927836542,1697.3043867950835,1509.5580947185108
,1098.6398520667872,1672.7954910873407,1507.9167825034506
,1093.4423633857634,1649.5120401649851,1506.3575358991436
,1064.1117699407796,1589.1557165329737,1444.7632896646771
,1172.118453936654,1567.0364381567356,1671.5773260560138
,1151.7145434593224,1509.6979307063248,1659.3349797696148
,1146.7769292123498,1455.2263486284346,1657.853695495523
,1187.8805137708696,1434.2130341710088,1670.184770863079
,1168.4967988174044,1480.5803582373537,1658.5545418909999
,1161.7508860548546,1458.299343299482,1656.5307680622348
,1143.3363568490627,1406.551340325486,1645.4820505387597
,1136.9277397246403,1385.3843761345079,1643.559465401433
,1119.433936979138,1497.7857079720636,1633.0631837541316
,1113.3457507109367,1796.14637173967,1631.2367278736713
,1148.5826568861069,1770.4176891663628,1652.3788715787734
,1180.4729570705867,1706.3390531526866,1661.9459616341173
,1173.0946651065717,1681.8968047080448,1659.7324740449128
,1154.713707189586,1621.0221004950522,1648.7038992947214
,1147.7043298237716,1597.8019644726426,1646.6010860849772
,1130.2424198026351,1628.3261962960846,1636.1239400722952
,1123.5835113051116,1570.4952272937417,1634.1262675230382
,1090.3191133325831,1515.5558067415159,1564.2710317807282
,1083.9931502599354,1491.9704659290546,1562.373242858934
,1067.404335739856,1439.7780164044402,1552.419954146886
,1035.8031576659537,1417.3719426326018,1486.0574801916916
,1020.0437838718783,1396.0861725493555,1476.6018559152465
,1005.0723787675065,1346.5033455009716,1467.6190128526234
,999.0627138484913,1326.2818639218876,1465.8161133769188
,1062.0546843791637,1279.1781782259231,1484.7137045361205
,1156.115624799682,1259.9677707257933,1541.1502687884317
,1137.1897429295032,1820.3491370356992,1529.7947396663242
,1128.330962729905,1747.5815673090376,1527.1371056064447
,1110.3513749532349,1815.2083490398948,1516.3493529404427
,1080.330255783028,1746.0791577995662,1453.305002683008
,1110.5970938462744,1724.4479315879,1471.465105520956
,1175.5463944070439,1703.8982666868171,1510.4346858574177
,1167.1305532174256,1638.225535008505,1507.9099335005321
,1138.610490005729,1575.8364399141085,1448.0178007559691
,1116.7690746866915,1556.3142582580797,1434.9129515645466
,1132.5406202839447,1537.7681856848524,1439.6444152437225
,1111.791275730859,1520.1494167402864,1427.194808511871
,1084.6972156797474,1503.4115862429487,1370.2972824045362
,1075.9135892697475,1444.141945903272,1367.6621944815363
,1056.2017119443162,1428.2410069308012,1355.8350680862775
,1047.8572668548163,1413.1351149069542,1353.3317345594276
,1029.1309833956566,1356.828956584261,1342.0959644839318
,1144.364643498048,1342.4783591616062,1584.086650698954
,1189.2782587122533,1655.6116578075817,1597.5607352632155
,1171.4882894260513,1641.9785902560595,1586.8867536914945
,1139.9872493723756,1629.0271760821136,1520.7345695787753
,1129.8143457766405,1559.8796607432566,1517.6826985000548
,1174.1525619731651,1602.94990459322,1544.2856282179694
,1229.0818487303623,1588.492548935473,1560.7644142451286
,1199.15586067937,1645.26130766863,1497.9198393380454
,1180.0384790476523,1579.5711680967158,1486.4494103590146
,1167.627756293844,1601.7645696762481,1482.7261935328722
,1149.466243743712,1778.0290293135456,1471.829286002793
,1132.2128068210866,1803.5227351127064,1461.4772238492178
,1209.8235824562425,2113.632992071683,1624.4598526830453
,1348.3688037496631,2094.675710891231,1915.4048173992287
,1336.5786171335453,2188.9181262356497,1911.8677614143933
,1389.9095772782357,2102.1937578125176,1943.8663375012075
,1543.7817426601828,2079.4722199238668,2266.997884803297
,1524.7244295764542,2057.886758929649,2255.5634969530597
,1477.7933328124857,2037.3805709851422,2157.0081937487257
,1519.9375948020966,2017.8996924378605,2169.651472345609
,1501.8331473725543,1999.392857817943,2158.7888038878837
,1457.248605446784,1917.0047078159675,2065.161265843766
,1443.9407150619916,1899.423214927046,2061.1688987283287
,1401.58540023251,1821.1544724251694,1972.222737586417
,1384.3861751744448,1804.4520541806937,1961.903202551578
,1368.046911369283,1788.5847568484419,1952.099644268481
,1352.5246107543792,1773.5108243828026,1942.7862638995387
,1339.8821148888262,1759.1905885404456,1938.993515139873
,1299.6445658008188,1745.586364490206,1854.494662055057
,1284.8983802166601,1732.6623516424786,1845.6469507045617
,1246.672708583053,1720.3845394371376,1765.3730402739866
,1210.358320531126,2034.5571189819939,1689.1128253649401
,1196.3494442261756,2110.889227765264,1680.7074995819698
,1184.3390731539005,2728.1571723458133,1677.1043882602874
,1215.2506225314637,2803.084471244226,1695.6513178868252
,1200.3966125728825,2783.857579265068,1686.7389119116765
,1165.897943923552,2662.930247682015,1614.2917077480824
,1154.4880914048904,2644.6647003018143,1610.868751992484
,1140.3767819442382,2627.312430290624,1602.4019663160927
,1215.3110031692754,2610.8277737799935,1647.3624990511148
,1414.2181123476796,2595.167350094894,2065.067428325764
,1403.3787524549512,2580.28994759405,2061.8156203579456
,1386.2262974060798,2566.156415218248,2051.524147328623
,1343.5072067302956,2622.293776893777,1961.814056909476
,1327.2123744338678,2606.060053052988,1952.0371575316192
,1286.6292382918728,2659.156740694242,1866.8125716334298
,1271.1491476102663,2641.0798686634307,1857.5245172244659
,1291.498635492561,2623.90684023416,1869.7342099538428
,1252.9446561576658,2509.0258752302593,1788.7708533505627
,1242.6472642595738,2584.992352416315,1785.6816357811351
,1232.8647419563865,2564.879651549205,1782.746879090179
,1223.5713457683585,2545.77258572545,1779.9588602337706
,1186.945065400208,2845.4818763653907,1703.0436714606547
,1171.2215048585672,2827.3301638328235,1693.60953513567
,1136.4265385088243,2703.207782547121,1620.5401058012098
,1121.4891559942653,2685.9636556411824,1611.5776762924745
,1112.6604296156388,2732.6921011251793,1608.9290583788866
,1104.2731395559435,2713.973758290338,1606.412871360978
,1090.0826261671127,2696.191332597238,1597.8985633276793
,1057.0274081348568,2778.2406761781785,1528.482605459942
,1043.5464204154675,2660.3244139567614,1520.3940128283086
,1035.578494858757,2639.32864236927,1518.0036351612955
,1004.176037728114,2619.3826593611525,1452.058475186945
,1377.7636152680507,2600.4339755034416,2236.5923880208134
,1364.9566769346309,2582.432725838616,2228.908225020761
,1357.387147655756,2646.5372784410206,2226.637366237099
,1308.8754345046482,3066.648576923595,2124.7627686197725
,1375.385841542588,3046.3421621118905,2144.7158907311546
,1420.4703626964927,3027.0510680407715,2171.766603423497
,1446.1822903657783,3081.9441848776464,2179.480181724283
,1400.096162872226,3449.1209925034364,2082.699313987823
,1385.6753453977817,3428.0497972940293,2074.0468235031567
,1341.893524278907,3276.664942878265,1982.1049991535197
,1328.1937476781852,4476.588773267961,1973.8851331930866
,1316.391578127893,4456.571137819024,1970.3444823279988
,1274.798848064962,4437.554384142534,1882.9997491958436
,1261.784060294276,4233.742580928073,1875.1908765334322
,1250.5719992214981,4215.676664935408,1871.8272582115987
,1238.2079508393465,,1864.408829182308
,1226.4621048763026,,1857.3613216044814
,1215.8106468571636,,1854.1658841987398
,1204.6520931922719,,1847.4707519998049
,1165.1389996324874,,1764.4932555242576
,1194.8351751175996,,1773.402108169791
,1184.2345491359524,,1767.0417325808028
,1146.6971102541572,,1688.2131109290328
,1136.6265155715923,,1682.170754119494
,1127.059450623156,,1676.430515150432
,1193.9294034455977,,1696.4915009971646
,1402.6849358762477,,2134.8781191015305
,1387.737744342688,,2130.3939616414623
,1378.6490326416733,,2124.9407346208536
,1364.4492006847915,,2120.680785033789
,1355.8149245688276,,2115.500219364211
,1342.32508420979,,2111.453267256499
,1371.0385801097655,,2128.6813647964846
,1324.9402365505275,,2031.8748433220849
,1312.1248882094417,,2028.0302388197592
,1302.4866511042771,,2022.2472965566606
,1340.332490259715,,2044.9548000499233
,1296.539063878439,,1952.9886046492436
,1284.3644829544075,,1949.3362303720342
,1299.160084007429,,1958.213591003847
,1416.6697237656272,,2204.9838344960635
,1452.6086885445718,,2215.765523929747
,1475.080107732949,,2222.5069496862598
,1492.075911599056,,2232.7044320059244
,1698.8160829050405,,2666.8587917484915
,1686.1778954514057,,2659.2758792763107
,1671.6915243752098,,2654.9299679534515
,1734.5198012714886,,2692.626934091219
,1676.7035556560672,,2571.212818298834
,1661.5558637303004,,2562.124203143374
,1647.165556400822,,2553.490018745687
,1633.4947644378171,,2545.287543567884
,1679.8600552053078,,2559.197130798131
,1663.779738144547,,2554.373035679903
,1650.7924857796927,,2546.5806842609904
,1595.8670524450424,,2431.2372742582247
,1583.5291626984308,,2423.8345404102574
,1568.2528614907083,,2419.251650047941
,1516.0736998227903,,2309.6754105453138
,1504.3527045635092,,2302.642813389745
,1493.2177590671922,,2295.9618460919546
,1566.7735985056324,,2318.028597923487
,1556.1954002841312,,2311.681678990586
,1546.146111973705,,2305.6521060043306
,1527.9558338544466,,2300.1950225685528
,1518.4090099595417,,2294.46692823161
,1501.1282457462462,,2289.2826989676214
,1492.0587630460866,,2283.8410093475254
,1475.6420370434557,,2278.915991546736
,1467.026028478304,,2273.7463864076453
,1458.84082034141,,2268.835261525509
,1668.2892067046473,,2708.6768728883076
,1652.693317002148,,2703.9981059775578
,2064.205280055847,,3568.1732283903266
,2115.093352578027,,3598.7060719036344
,2100.2772573606526,,3594.261243338422
,2150.2287899595945,,3624.2321628977875
,2137.410861973489,,3616.541406106124
,2123.3355715169832,,3612.3188189691723
,2042.7173504616148,,3443.0205547528976
,2030.5403188748146,,3435.7143358008175
,2017.1687929411344,,3431.7028780207133
,2005.6006129336743,,3424.7619700162372
,1992.8976632966778,,3420.9510851251384
,1981.9078922895908,,3414.3572225208864
,1971.467609832858,,3408.0930530468468
,1961.549341498962,,3402.142092046509
,1952.1269865817605,,3396.488679096188
,1989.5518943654463,,3418.9436237663995
,1977.4840922102997,,3415.3232831198557
,1966.6616096497742,,3408.8297935835403
,2002.0594014106102,,3430.068468640042
,1990.594989363221,,3426.629145025825
,1978.54374134268,,3419.3983962135003
,2005.8241719332286,,3427.582525390665
,1994.3754863137144,,3420.7133140189567
,2045.0198044377516,,3451.099904893379
,2032.7645914632046,,3447.4233410010147
,1956.1772814606043,,3286.589989995554
,1942.768814215864,,3278.54490964871
,1930.0307703333608,,3270.902083319208
,1918.388318007541,,3267.409347621462
,1907.3279882980123,,3264.0912487086034
,2107.1341820579723,,3683.6842556045203
,2095.0330403695943,,3676.4235705914934
,2084.525727145542,,3673.2713766242778
,2001.7774729550738,,3499.5000428242943
,2023.475831289294,,3506.00955032456
,2011.979746685335,,3499.111899562185
,2043.1320436746662,,3517.8032777557837
,2137.1131933509537,,3545.99762265867
,2124.634298127726,,3538.5102855247333
,2108.868375164351,,3533.7805086357207
,2093.890748349145,,3529.287220591159
,2082.0357978870784,,3522.174250313919
,2136.735360274372,,3554.9939877462953
,2058.124518793427,,3389.911220636311
,2043.895773318981,,3385.6425969939773
,2029.8985922606532,,3377.2442883589806
,2016.601270255242,,3369.2658951557337
,2003.9688143501012,,3361.6864216126496
,1991.9679812402176,,3354.485921746719
,2272.0421802286,,3942.6417396223237
,2314.778548630203,,3968.2835606632857
,2301.2409387557336,,3960.1609947386037
,2287.72363055501,,3956.105802278387
,2274.8629011742637,,3948.3893646499387
,2311.4583123988473,,3970.346611384689
,2556.24285081604,,4484.394142060795
,2543.401408025353,,4480.541709223589
,2442.4781717481765,,4268.602913041518
,2428.4307082752384,,4260.174434957756
,2416.231337624085,,4256.514623762409
,3216.180557883882,,5936.407986307985
,3202.835467584591,,5928.40093212841
,3191.2460654659953,,5924.924111492831
,3180.2361334533293,,5921.621131889032
,3167.558297669003,,5914.014430418436
,3031.6837621926957,,5628.67790591819
,3019.6398181975856,,5621.451539521124
