season_week,n,wins,avg_odd,hit_rate,pnl_per_pick
1,4,2,7.991758,0.5,2.995879
2,4,0,7.20672,0.0,-1.0
3,4,1,5.3855545000000005,0.25,0.3463886250000001
4,4,2,8.35651075,0.5,3.178255375
5,4,2,6.8341955,0.5,2.41709775
6,4,1,6.7781275,0.25,0.694531875
7,4,0,7.5530185,0.0,-1.0
8,4,3,6.00520725,0.75,3.5039054375
9,4,0,6.96810625,0.0,-1.0
10,4,1,8.147694999999999,0.25,1.0369237499999997
11,4,1,7.67412575,0.25,0.9185314375
12,4,1,6.006951249999999,0.25,0.5017378124999998
13,4,2,6.312462,0.5,2.156231
14,4,1,9.4801845,0.25,1.370046125
15,4,1,10.939780500000001,0.25,1.7349451250000003
16,3,0,9.363229333333335,0.0,-1.0
17,3,0,7.985673333333334,0.0,-1.0
18,3,0,8.112644,0.0,-1.0
19,3,1,7.119280000000001,0.3333333333333333,1.3730933333333335
20,2,0,8.542146,0.0,-1.0
21,2,1,10.816384,0.5,4.408192
22,2,0,9.847304000000001,0.0,-1.0
23,2,0,8.569536,0.0,-1.0
24,2,0,7.64028,0.0,-1.0
25,2,0,9.28725,0.0,-1.0
26,2,0,7.55036,0.0,-1.0
27,2,0,8.638447000000001,0.0,-1.0
28,2,1,9.016718000000001,0.5,3.5083590000000004
29,2,0,8.052360499999999,0.0,-1.0
30,2,1,7.020426499999999,0.5,2.5102132499999996
31,2,2,4.621234,1.0,3.6212340000000003
32,2,1,7.882764,0.5,2.941382
33,1,0,10.456264000000001,0.0,-1.0
34,1,0,5.1408,0.0,-1.0
35,1,0,4.941090000000001,0.0,-1.0
36,1,0,8.695512,0.0,-1.0
37,1,0,3.7237199999999997,0.0,-1.0
