rule,n,n_skipped,hit_rate,roi_pct,total_pnl
baseline,103,0,0.24271844660194175,60.33311262135922,62143.106
skip_dark_weeks,80,23,0.3125,106.4288825,85143.106
skip_low_score,98,5,0.23469387755102042,50.17060918367346,49167.197
skip_high_odd,74,29,0.28378378378378377,60.83999729729729,45021.59799999999
skip_low_signals,98,5,0.24489795918367346,59.30380204081632,58117.725999999995
multi_dark_high,63,40,0.3333333333333333,88.92317142857141,56021.59799999999
season_start_only,60,43,0.3,93.28350499999999,55970.102999999996
season_end_only,15,88,0.3333333333333333,101.15433999999999,15173.150999999998
skip_first5,83,20,0.21686746987951808,46.938137349397586,38958.653999999995
midseason_W6_15,40,63,0.275,81.96412749999999,32785.651
