streak_thr,pause_n,n_played,n_won,n_paused,hit_rate,total_pnl,roi
0,0,103,25,0,0.24271844660194175,62143.106,0.6033311262135922
2,1,77,18,26,0.23376623376623376,53016.665,0.6885281168831169
2,2,63,15,40,0.23809523809523808,30461.179999999997,0.4835107936507936
2,3,55,14,48,0.2545454545454545,46861.649000000005,0.8520299818181819
2,5,38,8,65,0.21052631578947367,19934.151,0.5245829210526316
3,1,89,22,14,0.24719101123595505,50325.808999999994,0.5654585280898876
3,2,79,21,24,0.26582278481012656,57973.215,0.7338381645569619
3,3,70,21,33,0.3,70218.666,1.0031238
3,5,48,10,55,0.20833333333333334,6873.8369999999995,0.1432049375
4,1,92,23,11,0.25,58052.167,0.6310018152173913
4,2,83,23,20,0.27710843373493976,70297.618,0.8469592530120482
4,3,73,18,30,0.2465753424657534,40300.362,0.5520597534246575
4,5,58,12,45,0.20689655172413793,14930.589,0.25742394827586207
5,1,94,24,9,0.2553191489361702,65666.162,0.6985761914893617
5,2,85,20,18,0.23529411764705882,42408.666,0.49892548235294115
5,3,79,17,24,0.21518987341772153,17709.422,0.2241698987341772
5,5,73,18,30,0.2465753424657534,35685.861,0.48884741095890405
