match_date,home_team,away_team,home_goals,away_goals,y,p_dc,p_lgbm,p_ensemble
2021-08-13,Besiktas,Rizespor,3,0,1,,,
2021-08-14,Karagumruk,Gaziantep,3,2,1,,,
2021-08-14,Altay,Kayserispor,3,0,1,,,
2021-08-14,Hatayspor,Kasimpasa,1,1,0,,,
2021-08-15,Buyuksehyr,Alanyaspor,0,1,0,,,
2021-08-15,Ad. Demirspor,Fenerbahce,0,1,0,,,
2021-08-15,Antalyaspor,Goztep,1,1,0,,,
2021-08-16,Sivasspor,Konyaspor,0,1,0,,,
2021-08-16,Yeni Malatyaspor,Trabzonspor,1,5,1,,,
2021-08-16,Giresunspor,Galatasaray,0,2,0,,,
2021-08-20,Kayserispor,Ad. Demirspor,1,1,0,,,
2021-08-21,Rizespor,Karagumruk,0,0,0,,,
2021-08-21,Kasimpasa,Giresunspor,2,0,0,,,
2021-08-21,Gaziantep,Besiktas,0,0,0,,,
2021-08-21,Alanyaspor,Altay,1,4,1,,,
2021-08-22,Konyaspor,Buyuksehyr,2,1,1,,,
2021-08-22,Fenerbahce,Antalyaspor,2,0,0,,,
2021-08-22,Goztep,Yeni Malatyaspor,0,1,0,,,
2021-08-23,Trabzonspor,Sivasspor,2,1,1,,,
2021-08-23,Galatasaray,Hatayspor,2,1,1,,,
2021-08-27,Antalyaspor,Rizespor,3,2,1,,,
2021-08-27,Ad. Demirspor,Konyaspor,1,1,0,,,
2021-08-28,Buyuksehyr,Kayserispor,0,1,0,,,
2021-08-28,Yeni Malatyaspor,Gaziantep,2,0,0,,,
2021-08-28,Besiktas,Karagumruk,1,0,0,,,
2021-08-28,Hatayspor,Alanyaspor,5,0,1,,,
2021-08-29,Kasimpasa,Galatasaray,2,2,1,,,
2021-08-29,Sivasspor,Goztep,2,2,1,,,
2021-08-29,Altay,Fenerbahce,0,2,0,,,
2021-08-29,Giresunspor,Trabzonspor,0,1,0,,,
2021-09-11,Karagumruk,Ad. Demirspor,4,0,1,,,
2021-09-11,Konyaspor,Altay,3,1,1,,,
2021-09-11,Besiktas,Yeni Malatyaspor,3,0,1,,,
2021-09-11,Kayserispor,Kasimpasa,2,0,0,,,
2021-09-12,Fenerbahce,Sivasspor,1,1,0,,,
2021-09-12,Rizespor,Hatayspor,0,2,0,,,
2021-09-12,Goztep,Buyuksehyr,2,1,1,,,
2021-09-12,Trabzonspor,Galatasaray,2,2,1,,,
2021-09-13,Alanyaspor,Giresunspor,1,0,0,,,
2021-09-13,Gaziantep,Antalyaspor,2,0,0,,,
2021-09-17,Altay,Goztep,2,1,1,,,
2021-09-17,Yeni Malatyaspor,Karagumruk,3,4,1,,,
2021-09-18,Sivasspor,Gaziantep,1,1,0,,,
2021-09-18,Kasimpasa,Trabzonspor,0,1,0,,,
2021-09-18,Ad. Demirspor,Rizespor,3,1,1,,,
2021-09-18,Antalyaspor,Besiktas,2,3,1,,,
2021-09-19,Buyuksehyr,Fenerbahce,2,0,0,,,
2021-09-19,Hatayspor,Kayserispor,2,1,1,,,
2021-09-19,Giresunspor,Konyaspor,0,0,0,,,
2021-09-19,Galatasaray,Alanyaspor,0,1,0,,,
2021-09-21,Karagumruk,Antalyaspor,0,0,0,,,
2021-09-21,Rizespor,Altay,1,2,1,,,
2021-09-21,Besiktas,Ad. Demirspor,3,3,1,,,
2021-09-21,Yeni Malatyaspor,Sivasspor,0,1,0,,,
2021-09-22,Gaziantep,Buyuksehyr,1,0,0,,,
2021-09-22,Goztep,Hatayspor,0,2,0,,,
2021-09-22,Kayserispor,Galatasaray,3,0,1,,,
2021-09-23,Konyaspor,Trabzonspor,2,2,1,,,
2021-09-23,Alanyaspor,Kasimpasa,2,0,0,,,
2021-09-23,Fenerbahce,Giresunspor,2,1,1,,,
2021-09-24,Altay,Besiktas,2,1,1,,,
2021-09-25,Sivasspor,Karagumruk,4,0,1,,,
2021-09-25,Antalyaspor,Yeni Malatyaspor,1,0,0,,,
2021-09-25,Ad. Demirspor,Gaziantep,4,0,1,,,
2021-09-26,Buyuksehyr,Rizespor,3,0,1,,,
2021-09-26,Giresunspor,Kayserispor,1,1,0,,,
2021-09-26,Galatasaray,Goztep,2,1,1,,,
2021-09-26,Hatayspor,Fenerbahce,1,2,1,,,
2021-09-27,Kasimpasa,Konyaspor,2,2,1,,,
2021-09-27,Trabzonspor,Alanyaspor,1,1,0,,,
2021-10-01,Antalyaspor,Ad. Demirspor,1,2,1,,,
2021-10-01,Karagumruk,Buyuksehyr,3,1,1,,,
2021-10-02,Kayserispor,Trabzonspor,1,2,1,,,
2021-10-02,Besiktas,Sivasspor,2,1,1,,,
2021-10-02,Konyaspor,Alanyaspor,1,1,0,,,
2021-10-02,Goztep,Giresunspor,0,1,0,,,
2021-10-03,Yeni Malatyaspor,Hatayspor,0,2,0,,,
2021-10-03,Fenerbahce,Kasimpasa,2,1,1,,,
2021-10-03,Gaziantep,Altay,4,1,1,,,
2021-10-03,Rizespor,Galatasaray,2,3,1,,,
2021-10-15,Buyuksehyr,Besiktas,3,2,1,,,
2021-10-16,Giresunspor,Rizespor,2,0,0,,,
2021-10-16,Sivasspor,Antalyaspor,2,2,1,,,
2021-10-16,Ad. Demirspor,Yeni Malatyaspor,0,2,0,,,
2021-10-17,Kasimpasa,Goztep,1,2,1,,,
2021-10-17,Altay,Karagumruk,0,1,0,,,
2021-10-17,Galatasaray,Konyaspor,1,0,0,,,
2021-10-17,Trabzonspor,Fenerbahce,3,1,1,,,
2021-10-18,Alanyaspor,Kayserispor,6,3,1,,,
2021-10-18,Hatayspor,Gaziantep,2,1,1,,,
2021-10-22,Yeni Malatyaspor,Altay,2,1,1,,,
2021-10-23,Rizespor,Kasimpasa,2,1,1,,,
2021-10-23,Gaziantep,Giresunspor,1,1,0,,,
2021-10-23,Konyaspor,Kayserispor,2,0,0,,,
2021-10-23,Goztep,Trabzonspor,0,1,0,,,
2021-10-24,Karagumruk,Hatayspor,1,1,0,,,
2021-10-24,Antalyaspor,Buyuksehyr,1,2,1,,,
2021-10-24,Sivasspor,Ad. Demirspor,1,1,0,,,
2021-10-24,Fenerbahce,Alanyaspor,1,2,1,,,
2021-10-25,Besiktas,Galatasaray,2,1,1,,,
2021-10-29,Trabzonspor,Rizespor,2,1,1,,,
2021-10-30,Kasimpasa,Yeni Malatyaspor,2,0,0,,,
2021-10-30,Altay,Sivasspor,1,1,0,,,
2021-10-30,Hatayspor,Besiktas,1,0,0,,,
2021-10-30,Konyaspor,Fenerbahce,2,1,1,,,
2021-10-31,Kayserispor,Karagumruk,2,1,1,,,
2021-10-31,Alanyaspor,Goztep,2,2,1,,,
2021-10-31,Galatasaray,Gaziantep,2,0,0,,,
2021-11-01,Buyuksehyr,Ad. Demirspor,2,1,1,,,
2021-11-01,Giresunspor,Antalyaspor,1,2,1,,,
2021-11-05,Gaziantep,Kasimpasa,2,0,0,,,
2021-11-05,Rizespor,Alanyaspor,2,0,0,,,
2021-11-06,Sivasspor,Giresunspor,0,0,0,,,
2021-11-06,Antalyaspor,Altay,1,0,0,,,
2021-11-06,Yeni Malatyaspor,Buyuksehyr,1,3,1,,,
2021-11-06,Besiktas,Trabzonspor,1,2,1,,,
2021-11-07,Goztep,Konyaspor,0,2,0,,,
2021-11-07,Ad. Demirspor,Hatayspor,1,0,0,,,
2021-11-07,Karagumruk,Galatasaray,1,1,0,,,
2021-11-07,Fenerbahce,Kayserispor,2,2,1,,,
2021-11-20,Buyuksehyr,Sivasspor,2,1,1,,,
2021-11-20,Hatayspor,Antalyaspor,3,1,1,,,
2021-11-20,Alanyaspor,Besiktas,2,0,0,,,
2021-11-20,Giresunspor,Yeni Malatyaspor,1,0,0,,,
2021-11-21,Kasimpasa,Karagumruk,1,3,1,,,
2021-11-21,Altay,Ad. Demirspor,1,3,1,,,
2021-11-21,Konyaspor,Rizespor,3,0,1,,,
2021-11-21,Galatasaray,Fenerbahce,1,2,1,,,
2021-11-22,Kayserispor,Goztep,1,1,0,,,
2021-11-22,Trabzonspor,Gaziantep,3,0,1,,,
2021-11-26,Ad. Demirspor,Kasimpasa,0,0,0,,,
2021-11-26,Buyuksehyr,Altay,0,0,0,,,
2021-11-27,Antalyaspor,Alanyaspor,3,0,1,,,
2021-11-27,Rizespor,Kayserispor,1,0,0,,,
2021-11-27,Besiktas,Giresunspor,0,4,1,,,
2021-11-28,Karagumruk,Trabzonspor,0,2,0,,,
2021-11-28,Gaziantep,Konyaspor,3,2,1,,,
2021-11-28,Yeni Malatyaspor,Galatasaray,0,0,0,,,
2021-11-28,Sivasspor,Hatayspor,4,0,1,,,
2021-11-29,Goztep,Fenerbahce,1,1,0,,,
2021-12-03,Kasimpasa,Besiktas,1,1,0,,,
2021-12-04,Alanyaspor,Sivasspor,0,1,0,,,
2021-12-04,Trabzonspor,Ad. Demirspor,2,0,0,,,
2021-12-04,Galatasaray,Altay,2,2,1,,,
